City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Jamestown,US,82.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
5,Butaritari,KI,81.95,clear sky,3.0707,172.7902,Isles Sunset Lodge
7,Rikitea,PF,71.04,broken clouds,-23.1203,-134.9692,People ThankYou
9,Yambio,SS,67.28,overcast clouds,4.5721,28.3955,Naivasha Hotel
11,Yatou,CN,69.39,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
14,Ribeira Grande,PT,72.52,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
16,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Mahon,ES,79.36,few clouds,39.8885,4.2658,ARTIEM Capri
19,Ondjiva,AO,66.81,clear sky,-17.0667,15.7333,COMBUESA
23,Caucaia,BR,80.55,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
24,Tongren,CN,67.95,broken clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
26,Faanui,PF,77.92,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Marsala,IT,77.94,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
30,Ferme-Neuve,CA,74.84,clear sky,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
31,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
32,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Touros,BR,76.75,clear sky,-5.1989,-35.4608,INN NEW HORIZON
36,Shimoda,JP,74.75,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
39,Chapais,CA,74.98,few clouds,49.7834,-74.8492,Hôtel Opémiska
40,Ipixuna,BR,83.35,broken clouds,-1.7625,-48.8043,Chalé do Mato
42,Qui Nhon,VN,78.26,broken clouds,13.7667,109.2333,Seagull Hotel
45,Tshikapa,CD,68.56,heavy intensity rain,-6.4167,20.8,Tatem beach
46,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
49,Tezu,IN,75.92,moderate rain,27.9167,96.1667,Circuit House
56,Nichinan,JP,76.68,moderate rain,31.6,131.3667,Guest House Aki
58,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
61,Creel,MX,68.2,overcast clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
