City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Jamestown,US,2022-25-09/02/22 21:25:31,42.097,-79.2353,82.02,39,0,10.36,clear sky
1,San Francisco,US,2022-27-09/02/22 21:27:18,37.7749,-122.4194,96.03,74,20,28.77,few clouds
2,Codrington,AU,2022-27-09/02/22 21:27:23,-38.2667,141.9667,48.06,87,77,8.75,broken clouds
3,Salalah,OM,2022-27-09/02/22 21:27:24,17.0151,54.0924,78.89,83,75,5.75,broken clouds
4,Kaniama,CD,2022-27-09/02/22 21:27:24,-7.5667,24.1833,68.59,87,100,6.76,light rain
5,Butaritari,KI,2022-27-09/02/22 21:27:25,3.0707,172.7902,81.95,77,5,17.02,clear sky
6,Beloha,MG,2022-27-09/02/22 21:27:25,-25.1667,45.05,63.45,75,0,13.94,clear sky
7,Rikitea,PF,2022-23-09/02/22 21:23:12,-23.1203,-134.9692,71.04,73,61,21.99,broken clouds
8,Chipinge,ZW,2022-27-09/02/22 21:27:26,-20.1883,32.6236,51.76,70,25,4.14,scattered clouds
9,Yambio,SS,2022-27-09/02/22 21:27:26,4.5721,28.3955,67.28,92,100,5.3,overcast clouds
10,Tasiilaq,GL,2022-27-09/02/22 21:27:26,65.6145,-37.6368,42.96,68,95,4.43,overcast clouds
11,Yatou,CN,2022-27-09/02/22 21:27:27,37.15,122.3833,69.39,89,100,8.14,overcast clouds
12,Busselton,AU,2022-27-09/02/22 21:27:27,-33.65,115.3333,58.19,54,100,15.64,light rain
13,Mar Del Plata,AR,2022-24-09/02/22 21:24:05,-38.0023,-57.5575,51.1,68,0,10.0,clear sky
14,Ribeira Grande,PT,2022-27-09/02/22 21:27:27,38.5167,-28.7,72.52,74,100,11.43,overcast clouds
15,Berlevag,NO,2022-27-09/02/22 21:27:28,70.8578,29.0864,44.6,87,75,14.97,light intensity drizzle
16,Vaini,TO,2022-27-09/02/22 21:27:28,-21.2,-175.2,73.56,78,20,9.22,few clouds
17,Mahon,ES,2022-27-09/02/22 21:27:28,39.8885,4.2658,79.36,94,20,4.61,few clouds
18,Verkhnevilyuysk,RU,2022-27-09/02/22 21:27:29,63.4453,120.3167,40.64,96,100,3.47,overcast clouds
19,Ondjiva,AO,2022-27-09/02/22 21:27:29,-17.0667,15.7333,66.81,21,0,7.56,clear sky
20,Hammerfest,NO,2022-27-09/02/22 21:27:29,70.6634,23.6821,43.25,87,75,10.36,light intensity shower rain
21,Airai,TL,2022-27-09/02/22 21:27:30,-8.9266,125.4092,58.37,82,8,3.42,clear sky
22,Saint-Francois,FR,2022-27-09/02/22 21:27:30,46.4154,3.9054,63.84,94,100,2.3,overcast clouds
23,Caucaia,BR,2022-25-09/02/22 21:25:47,-3.7361,-38.6531,80.55,77,0,14.97,clear sky
24,Tongren,CN,2022-27-09/02/22 21:27:30,27.7172,109.1853,67.95,75,53,3.18,broken clouds
25,Beringovskiy,RU,2022-27-09/02/22 21:27:31,63.05,179.3167,47.86,61,31,6.06,scattered clouds
26,Faanui,PF,2022-27-09/02/22 21:27:31,-16.4833,-151.75,77.92,74,0,21.59,clear sky
27,Castro,BR,2022-27-09/02/22 21:27:31,-24.7911,-50.0119,65.08,59,75,3.78,broken clouds
28,Marsala,IT,2022-27-09/02/22 21:27:32,37.7966,12.4352,77.94,78,0,1.14,clear sky
29,Dikson,RU,2022-27-09/02/22 21:27:32,73.5069,80.5464,41.47,79,24,9.89,few clouds
30,Ferme-Neuve,CA,2022-27-09/02/22 21:27:33,46.7001,-75.4493,74.84,58,5,9.4,clear sky
31,Komsomolskiy,UZ,2022-27-09/02/22 21:27:33,40.4272,71.7189,70.52,37,0,6.91,clear sky
32,Mahebourg,MU,2022-27-09/02/22 21:27:33,-20.4081,57.7,70.09,73,20,8.05,few clouds
33,Touros,BR,2022-27-09/02/22 21:27:33,-5.1989,-35.4608,76.75,80,9,15.17,clear sky
34,Cap Malheureux,MU,2022-27-09/02/22 21:27:34,-19.9842,57.6142,65.46,74,0,5.99,clear sky
35,Kabale,UG,2022-27-09/02/22 21:27:34,-1.2486,29.9899,61.11,83,95,3.18,overcast clouds
36,Shimoda,JP,2022-27-09/02/22 21:27:34,34.6667,138.95,74.75,87,57,9.24,broken clouds
37,Yulara,AU,2022-27-09/02/22 21:27:35,-25.2406,130.9889,50.09,50,58,11.7,broken clouds
38,Barrow,US,2022-27-09/02/22 21:27:35,71.2906,-156.7887,39.22,93,100,4.61,mist
39,Chapais,CA,2022-27-09/02/22 21:27:36,49.7834,-74.8492,74.98,53,13,13.73,few clouds
40,Ipixuna,BR,2022-27-09/02/22 21:27:36,-1.7625,-48.8043,83.35,67,75,6.69,broken clouds
41,Deputatskiy,RU,2022-27-09/02/22 21:27:36,69.3,139.9,29.7,89,100,4.52,overcast clouds
42,Qui Nhon,VN,2022-27-09/02/22 21:27:37,13.7667,109.2333,78.26,86,83,4.9,broken clouds
43,Hilo,US,2022-27-09/02/22 21:27:37,19.7297,-155.09,91.27,64,0,6.91,clear sky
44,Esperance,AU,2022-27-09/02/22 21:27:37,-33.8667,121.9,53.62,77,100,21.21,light rain
45,Tshikapa,CD,2022-27-09/02/22 21:27:38,-6.4167,20.8,68.56,97,100,5.32,heavy intensity rain
46,Puerto Ayora,EC,2022-28-09/02/22 21:28:38,-0.7393,-90.3518,76.96,90,89,7.0,overcast clouds
47,Cabo San Lucas,MX,2022-27-09/02/22 21:27:43,22.8909,-109.9124,83.61,93,100,17.27,overcast clouds
48,Ayan,RU,2022-28-09/02/22 21:28:38,56.45,138.1667,54.21,76,87,5.86,overcast clouds
49,Tezu,IN,2022-28-09/02/22 21:28:39,27.9167,96.1667,75.92,98,100,2.46,moderate rain
50,Chuy,UY,2022-28-09/02/22 21:28:39,-33.6971,-53.4616,49.08,79,2,15.48,clear sky
51,San Patricio,US,2022-28-09/02/22 21:28:39,28.017,-97.5169,91.35,51,98,12.8,overcast clouds
52,Puerto Lleras,CO,2022-28-09/02/22 21:28:40,3.0223,-73.4044,80.98,82,46,4.25,scattered clouds
53,Anchorage,US,2022-26-09/02/22 21:26:27,61.2181,-149.9003,60.85,78,0,10.36,clear sky
54,Yellowknife,CA,2022-28-09/02/22 21:28:40,62.456,-114.3525,63.12,72,75,5.75,broken clouds
55,Ancud,CL,2022-28-09/02/22 21:28:40,-41.8697,-73.8203,56.23,71,0,5.66,clear sky
56,Nichinan,JP,2022-28-09/02/22 21:28:41,31.6,131.3667,76.68,88,80,7.7,moderate rain
57,Kovdor,RU,2022-28-09/02/22 21:28:41,67.5662,30.4758,40.64,95,100,12.21,overcast clouds
58,Gat,IL,2022-26-09/02/22 21:26:36,31.61,34.7642,81.28,100,2,7.36,clear sky
59,Hobart,AU,2022-28-09/02/22 21:28:21,-42.8794,147.3294,44.46,85,75,9.22,broken clouds
60,Wanaka,NZ,2022-28-09/02/22 21:28:42,-44.7,169.15,47.1,87,79,5.99,broken clouds
61,Creel,MX,2022-28-09/02/22 21:28:42,27.75,-107.6333,68.2,62,99,5.46,overcast clouds
62,Labuhan,ID,2022-28-09/02/22 21:28:43,-6.8844,112.2051,76.6,85,59,8.95,broken clouds
63,Severo-Kurilsk,RU,2022-28-09/02/22 21:28:43,50.6789,156.125,52.0,95,96,9.01,light rain
64,Mount Gambier,AU,2022-28-09/02/22 21:28:43,-37.8333,140.7667,40.91,100,75,5.75,drizzle
65,Poya,NC,2022-28-09/02/22 21:28:44,-21.35,165.15,71.65,73,99,7.11,overcast clouds
66,Nador,MA,2022-28-09/02/22 21:28:44,35.174,-2.9287,84.45,30,0,4.61,clear sky
67,Richards Bay,ZA,2022-28-09/02/22 21:28:44,-28.783,32.0377,67.5,60,0,15.08,clear sky
68,Grand Gaube,MU,2022-28-09/02/22 21:28:45,-20.0064,57.6608,70.2,74,0,5.99,clear sky
69,Hassleholm,SE,2022-28-09/02/22 21:28:45,56.1591,13.7664,57.34,70,100,7.56,overcast clouds
70,Ilulissat,GL,2022-28-09/02/22 21:28:45,69.2167,-51.1,46.42,93,75,9.22,broken clouds
71,Hay River,CA,2022-28-09/02/22 21:28:46,60.8156,-115.7999,71.58,35,40,11.5,scattered clouds
72,Osa,RU,2022-28-09/02/22 21:28:46,57.2829,55.4567,47.12,71,8,5.12,clear sky
73,Kapaa,US,2022-28-09/02/22 21:28:46,22.0752,-159.319,84.18,70,0,14.97,clear sky
74,Alice Springs,AU,2022-28-09/02/22 21:28:47,-23.7,133.8833,38.75,100,53,1.14,broken clouds
75,Georgetown,MY,2022-28-09/02/22 21:28:28,5.4112,100.3354,78.89,88,20,3.44,few clouds
76,Arraial Do Cabo,BR,2022-28-09/02/22 21:28:47,-22.9661,-42.0278,71.56,64,0,17.27,clear sky
77,Khatanga,RU,2022-28-09/02/22 21:28:47,71.9667,102.5,34.84,86,100,6.78,overcast clouds
78,Nouadhibou,MR,2022-28-09/02/22 21:28:48,20.931,-17.0347,80.58,83,20,12.66,few clouds
79,Key Largo,US,2022-25-09/02/22 21:25:10,25.0865,-80.4473,90.0,56,56,11.74,broken clouds
80,Inirida,CO,2022-28-09/02/22 21:28:48,3.8653,-67.9239,78.58,92,96,1.72,overcast clouds
81,Norman Wells,CA,2022-28-09/02/22 21:28:48,65.282,-126.8329,69.84,30,75,9.22,broken clouds
82,Arlit,NE,2022-28-09/02/22 21:28:49,18.7369,7.3853,90.64,30,100,3.22,overcast clouds
83,Funadhoo,MV,2022-28-09/02/22 21:28:49,6.15,73.2667,79.16,83,22,19.04,few clouds
84,Bilibino,RU,2022-28-09/02/22 21:28:49,68.0546,166.4372,42.21,92,100,2.57,moderate rain
85,Cabra,ES,2022-28-09/02/22 21:28:50,37.4725,-4.4421,72.91,35,42,6.98,scattered clouds
86,Perg,AT,2022-28-09/02/22 21:28:50,48.25,14.6333,59.04,71,56,4.54,broken clouds
87,Provideniya,RU,2022-28-09/02/22 21:28:50,64.3833,-173.3,45.99,70,20,3.67,few clouds
88,Saraland,US,2022-28-09/02/22 21:28:51,30.8207,-88.0706,93.56,53,49,7.47,scattered clouds
89,Puyang,CN,2022-28-09/02/22 21:28:51,29.4603,119.8861,70.21,96,100,3.15,overcast clouds
90,Ruzomberok,SK,2022-28-09/02/22 21:28:51,49.0748,19.3075,52.18,78,83,2.93,broken clouds
91,Torbay,CA,2022-28-09/02/22 21:28:52,47.6666,-52.7314,77.76,78,75,2.3,broken clouds
92,Kaitangata,NZ,2022-29-09/02/22 21:29:52,-46.2817,169.8464,47.55,92,72,8.81,broken clouds
93,Isangel,VU,2022-29-09/02/22 21:29:52,-19.55,169.2667,73.51,78,75,4.61,broken clouds
94,Bubaque,GW,2022-29-09/02/22 21:29:53,11.2833,-15.8333,79.3,79,94,14.2,light rain
95,Lorengau,PG,2022-29-09/02/22 21:29:53,-2.0226,147.2712,81.1,74,85,6.89,overcast clouds
96,Vestmannaeyjar,IS,2022-29-09/02/22 21:29:53,63.4427,-20.2734,51.78,77,53,11.95,broken clouds
97,Coxim,BR,2022-29-09/02/22 21:29:54,-18.5067,-54.76,96.42,18,11,8.59,few clouds
98,Saint George,US,2022-28-09/02/22 21:28:18,37.1041,-113.5841,107.94,11,0,5.01,clear sky
99,Lima,PE,2022-29-09/02/22 21:29:54,-12.0432,-77.0282,61.05,72,20,8.05,few clouds
100,Stykkisholmur,IS,2022-29-09/02/22 21:29:55,65.0757,-22.7297,46.96,88,56,4.94,broken clouds
101,Saldanha,ZA,2022-29-09/02/22 21:29:55,-33.0117,17.9442,51.85,87,88,12.8,overcast clouds
102,Itarema,BR,2022-29-09/02/22 21:29:55,-2.9248,-39.9167,78.08,78,69,16.89,broken clouds
103,Cape Town,ZA,2022-26-09/02/22 21:26:57,-33.9258,18.4232,56.12,79,20,13.8,few clouds
104,Upernavik,GL,2022-29-09/02/22 21:29:56,72.7868,-56.1549,45.28,94,100,28.79,light rain
105,Krasnoborsk,RU,2022-29-09/02/22 21:29:56,61.5598,45.934,41.77,98,100,6.89,light rain
106,Inongo,CD,2022-29-09/02/22 21:29:56,-1.95,18.2667,64.99,100,92,3.38,overcast clouds
107,Sao Filipe,CV,2022-29-09/02/22 21:29:57,14.8961,-24.4956,78.76,86,83,12.5,light rain
108,Ingham,US,2022-29-09/02/22 21:29:57,42.6,-84.3833,83.43,63,40,3.44,scattered clouds
109,Westport,US,2022-25-09/02/22 21:25:34,41.1415,-73.3579,80.28,48,0,5.75,clear sky
110,Longyearbyen,SJ,2022-29-09/02/22 21:29:57,78.2186,15.6401,44.44,87,75,4.61,broken clouds
111,Guerrero Negro,MX,2022-29-09/02/22 21:29:58,27.9769,-114.0611,87.4,55,49,7.96,scattered clouds
112,Kavieng,PG,2022-29-09/02/22 21:29:58,-2.5744,150.7967,82.58,73,97,14.58,overcast clouds
113,Morant Bay,JM,2022-29-09/02/22 21:29:58,17.8815,-76.4093,83.82,73,87,9.22,overcast clouds
114,Fonte Boa,BR,2022-29-09/02/22 21:29:59,-2.4959,-66.2662,80.69,74,100,2.08,overcast clouds
115,Brownsburg,US,2022-29-09/02/22 21:29:59,39.8434,-86.3978,86.7,56,0,4.61,clear sky
116,Pontianak,ID,2022-29-09/02/22 21:29:59,-0.0333,109.3333,75.18,100,75,2.3,light rain
117,Edd,ER,2022-30-09/02/22 21:30:00,13.9297,41.6925,90.09,62,96,4.23,overcast clouds
118,Camacha,PT,2022-30-09/02/22 21:30:00,33.0833,-16.3333,69.22,83,40,10.36,scattered clouds
119,Ryotsu,JP,2022-30-09/02/22 21:30:01,38.0833,138.4333,72.77,72,87,6.22,light rain
120,Antofagasta,CL,2022-26-09/02/22 21:26:04,-23.65,-70.4,58.28,74,30,10.96,scattered clouds
121,Tacuarembo,UY,2022-30-09/02/22 21:30:01,-31.7333,-55.9833,50.99,76,0,11.14,clear sky
122,Petropavlovsk-Kamchatskiy,RU,2022-30-09/02/22 21:30:02,53.0452,158.6483,50.59,93,0,4.47,clear sky
123,Yeppoon,AU,2022-30-09/02/22 21:30:02,-23.1333,150.7333,67.78,96,100,5.1,overcast clouds
124,Kavaratti,IN,2022-30-09/02/22 21:30:03,10.5669,72.642,79.72,81,84,13.35,broken clouds
125,Waipawa,NZ,2022-30-09/02/22 21:30:04,-41.4122,175.5153,52.99,84,100,19.15,overcast clouds
126,Avarua,CK,2022-30-09/02/22 21:30:04,-21.2078,-159.775,77.05,88,100,8.05,overcast clouds
127,Faya,SA,2022-30-09/02/22 21:30:05,18.3851,42.4509,69.91,39,12,6.38,few clouds
128,Sardarshahr,IN,2022-30-09/02/22 21:30:05,28.4333,74.4833,90.3,52,46,11.61,scattered clouds
129,Bonavista,CA,2022-27-09/02/22 21:27:25,48.6499,-53.1147,69.48,76,99,10.4,overcast clouds
130,Daru,PG,2022-30-09/02/22 21:30:06,-9.0763,143.2092,78.94,86,68,2.28,broken clouds
131,Quatre Cocos,MU,2022-30-09/02/22 21:30:06,-20.2078,57.7625,69.91,67,0,13.24,clear sky
132,Grimsby,GB,2022-30-09/02/22 21:30:07,53.5654,-0.0755,64.69,91,100,12.66,overcast clouds
133,Gizo,SB,2022-30-09/02/22 21:30:07,-8.103,156.8419,82.24,74,28,7.2,scattered clouds
